inst num_v num_e num_t custo tempo
steinb1 50 63 9 59 4.94
steinb5 50 100 13 148 7.31
steinb9 75 94 38 257 21.54
steinb12 75 150 38 513 25.83
steinb13 100 125 17 133 13.57
steinb17 100 200 25 382 22.01
steinc3 500 625 83 682 240.41
steinc6 500 1000 5 83 31.82
steinc15 500 2500 250 10047 1287.31
steinc18 500 12500 83 20277 1735.97
steind2 1000 1250 10 62 69.91
steind9 1000 2000 250 4287 1585.97
steind11 1000 5000 5 297 141.84
steind20 1000 25000 500 103051 24077.28
steine5 2500 3125 1250 9457 16580.36
steine7 2500 5000 10 188 227.81
steine14 2500 12500 625 29856 15767.68
steine18 2500 62500 417 105308 45284.04
