inst num_v num_e num_t custo tempo
steinb1 50 63 9 59 0.00
steinb2 50 63 13 111 0.00
steinb3 50 63 25 170 0.00
steinb4 50 100 9 155 0.00
steinb5 50 100 13 150 0.00
steinb6 50 100 25 346 0.00
steinb7 75 94 13 89 0.00
steinb8 75 94 19 146 0.00
steinb9 75 94 38 296 0.00
steinb10 75 150 13 187 0.00
steinb11 75 150 19 292 0.00
steinb12 75 150 38 550 0.00
steinb13 100 125 17 139 0.00
steinb14 100 125 25 197 0.00
steinb15 100 125 50 389 0.00
steinb16 100 200 17 311 0.00
steinb17 100 200 25 412 0.00
steinb18 100 200 50 774 0.00
steinc1 500 625 5 20 0.00
steinc2 500 625 10 113 0.00
steinc3 500 625 83 733 0.03
steinc4 500 625 125 1023 0.04
steinc5 500 625 250 2102 0.08
steinc6 500 1000 5 83 0.00
steinc7 500 1000 10 171 0.00
steinc8 500 1000 83 1492 0.03
steinc9 500 1000 125 2241 0.05
steinc10 500 1000 250 3986 0.10
steinc11 500 2500 5 201 0.01
steinc12 500 2500 10 441 0.01
steinc13 500 2500 83 4302 0.05
steinc14 500 2500 125 6073 0.08
steinc15 500 2500 250 10103 0.17
steinc16 500 12500 5 1153 0.02
steinc17 500 12500 10 2287 0.04
steinc18 500 12500 83 20277 0.24
steinc19 500 12500 125 29077 0.37
steinc20 500 12500 250 51375 0.84
steind1 1000 1250 5 61 0.00
steind2 1000 1250 10 61 0.01
steind3 1000 1250 167 1482 0.11
steind4 1000 1250 250 2117 0.16
steind5 1000 1250 500 4128 0.33
steind6 1000 2000 5 36 0.01
steind7 1000 2000 10 166 0.06
steind8 1000 2000 167 3139 0.13
steind9 1000 2000 250 4415 0.19
steind10 1000 2000 500 7808 0.43
steind11 1000 5000 5 297 0.01
steind12 1000 5000 10 548 0.02
steind13 1000 5000 167 8135 0.22
steind14 1000 5000 250 11799 0.33
steind15 1000 5000 500 20936 0.66
steind16 1000 25000 5 1016 0.08
steind17 1000 25000 10 2581 0.08
steind18 1000 25000 167 41729 1.00
steind19 1000 25000 250 60352 1.56
steind20 1000 25000 500 103051 3.37
steine1 2500 3125 5 43 0.01
steine2 2500 3125 10 67 0.02
steine3 2500 3125 417 3759 0.65
steine4 2500 3125 625 5628 0.95
steine5 2500 3125 1250 10416 1.94
steine6 2500 5000 5 71 0.11
steine7 2500 5000 10 187 0.12
steine8 2500 5000 417 7411 0.75
steine9 2500 5000 625 11564 1.22
steine10 2500 5000 1250 19573 2.34
steine11 2500 12500 5 202 0.03
steine12 2500 12500 10 393 0.04
steine13 2500 12500 417 20837 1.31
steine14 2500 12500 625 29872 1.97
steine15 2500 12500 1250 51361 4.10
steine16 2500 62500 5 1090 0.25
steine17 2500 62500 10 2269 0.21
steine18 2500 62500 417 105308 6.60
steine19 2500 62500 625 151190 10.58
teste1 6 9 3 30 0.00
