inst num_v num_e num_t custo tempo
steinb1 50 63 9 64 0.00
steinb2 50 63 13 113 0.00
steinb3 50 63 25 175 0.00
steinb4 50 100 9 156 0.00
steinb5 50 100 13 164 0.00
steinb6 50 100 25 346 0.00
steinb7 75 94 13 90 0.00
steinb8 75 94 19 142 0.00
steinb9 75 94 38 274 0.00
steinb10 75 150 13 198 0.00
steinb11 75 150 19 296 0.00
steinb12 75 150 38 570 0.00
steinb13 100 125 17 152 0.00
steinb14 100 125 25 208 0.00
steinb15 100 125 50 380 0.01
steinb16 100 200 17 311 0.00
steinb17 100 200 25 408 0.00
steinb18 100 200 50 790 0.01
steinc1 500 625 5 20 0.00
steinc2 500 625 10 121 0.01
steinc3 500 625 83 751 0.04
steinc4 500 625 125 1013 0.05
steinc5 500 625 250 2062 0.08
steinc6 500 1000 5 83 0.00
steinc7 500 1000 10 191 0.00
steinc8 500 1000 83 1482 0.04
steinc9 500 1000 125 2254 0.05
steinc10 500 1000 250 3961 0.10
steinc11 500 2500 5 201 0.01
steinc12 500 2500 10 469 0.01
steinc13 500 2500 83 4306 0.05
steinc14 500 2500 125 6100 0.08
steinc15 500 2500 250 10140 0.16
steinc16 500 12500 5 1153 0.02
steinc17 500 12500 10 2365 0.04
steinc18 500 12500 83 20326 0.22
steinc19 500 12500 125 29142 0.35
steinc20 500 12500 250 51477 0.80
steind1 1000 1250 5 66 0.01
steind2 1000 1250 10 71 0.01
steind3 1000 1250 167 1483 0.11
steind4 1000 1250 250 2070 0.16
steind5 1000 1250 500 4031 0.31
steind6 1000 2000 5 46 0.01
steind7 1000 2000 10 166 0.01
steind8 1000 2000 167 3159 0.13
steind9 1000 2000 250 4419 0.19
steind10 1000 2000 500 7778 0.38
steind11 1000 5000 5 298 0.01
steind12 1000 5000 10 567 0.02
steind13 1000 5000 167 8205 0.21
steind14 1000 5000 250 11850 0.31
steind15 1000 5000 500 20968 0.64
steind16 1000 25000 5 1037 0.05
steind17 1000 25000 10 2654 0.07
steind18 1000 25000 167 41815 0.89
steind19 1000 25000 250 60356 1.44
steind20 1000 25000 500 103093 3.35
steine1 2500 3125 5 54 0.01
steine2 2500 3125 10 75 0.02
steine3 2500 3125 417 3772 0.64
steine4 2500 3125 625 5528 0.95
steine5 2500 3125 1250 10245 2.00
steine6 2500 5000 5 71 0.01
steine7 2500 5000 10 187 0.03
steine8 2500 5000 417 7470 0.76
steine9 2500 5000 625 11596 1.16
steine10 2500 5000 1250 19592 2.39
steine11 2500 12500 5 202 0.03
steine12 2500 12500 10 426 0.05
steine13 2500 12500 417 20914 1.38
steine14 2500 12500 625 29947 1.95
steine15 2500 12500 1250 51373 4.01
steine16 2500 62500 5 1119 0.15
steine17 2500 62500 10 2308 0.19
steine18 2500 62500 417 105437 6.71
steine19 2500 62500 625 151352 10.62
steine20 2500 62500 1250 258460 25.05
teste1 6 9 3 30 0.00
